1331901000.010000,CGUBcoXKxBE8gTNl,192.168.202.79,46119,192.168.229.254,443,-,-,-,tcp,SSL::Invalid_Server_Cert,SSL certificate validation failed with (self signed certificate),CN=192.168.229.254,192.168.202.79,192.168.229.254,443,-,bro,Notice::ACTION_LOG,3600.000000,F,-,-,-,-,-
1331901082.850000,-,-,-,-,-,-,-,-,tcp,Scan::Address_Scan,192.168.202.76 scanned at least 25 unique hosts on port 443/tcp in 1m17s,remote,192.168.202.76,-,443,-,bro,Notice::ACTION_LOG,3600.000000,F,-,-,-,-,-
1331901119.430000,CHR8xt2DJY4iLc4uzl,192.168.202.91,50076,192.168.205.253,443,-,-,-,tcp,SSL::Invalid_Server_Cert,SSL certificate validation failed with (unable to get local issuer certificate),"unstructuredName=1331560690\,564d7761726520496e632e,CN=localhost.localdomain,emailAddress=ssl-certificates@vmware.com,OU=VMware ESX Server Default Certificate,O=VMware\, Inc,L=Palo Alto,ST=California,C=US",192.168.202.91,192.168.205.253,443,-,bro,Notice::ACTION_LOG,3600.000000,F,-,-,-,-,-
1331901770.030000,-,-,-,-,-,-,-,-,-,Scan::Port_Scan,192.168.202.79 scanned at least 15 unique ports of host 192.168.229.1 in 0m0s,remote,192.168.202.79,192.168.229.1,-,-,bro,Notice::ACTION_LOG,3600.000000,F,-,-,-,-,-
1331901773.110000,-,-,-,-,-,-,-,-,tcp,Scan::Address_Scan,192.168.202.79 scanned at least 25 unique hosts on port 443/tcp in 0m3s,remote,192.168.202.79,-,443,-,bro,Notice::ACTION_LOG,3600.000000,F,-,-,-,-,-
1331901981.720000,-,-,-,-,-,-,-,-,-,Scan::Port_Scan,192.168.202.83 scanned at least 15 unique ports of host 192.168.206.44 in 0m0s,remote,192.168.202.83,192.168.206.44,-,-,bro,Notice::ACTION_LOG,3600.000000,F,-,-,-,-,-
1331902143.230000,-,-,-,-,-,-,-,-,-,Scan::Port_Scan,192.168.203.61 scanned at least 15 unique ports of host 192.168.202.78 in 0m3s,remote,192.168.203.61,192.168.202.78,-,-,bro,Notice::ACTION_LOG,3600.000000,F,-,-,-,-,-
1331902175.300000,-,-,-,-,-,-,-,-,-,Scan::Port_Scan,192.168.202.101 scanned at least 15 unique ports of host 192.168.28.101 in 0m0s,remote,192.168.202.101,192.168.28.101,-,-,bro,Notice::ACTION_LOG,3600.000000,F,-,-,-,-,-
1331902177.050000,-,-,-,-,-,-,-,-,tcp,Scan::Address_Scan,192.168.202.101 scanned at least 25 unique hosts on port 443/tcp in 0m2s,remote,192.168.202.101,-,443,-,bro,Notice::ACTION_LOG,3600.000000,F,-,-,-,-,-
1331902208.260000,Cd0Mnr4aayfMzj10hc,192.168.202.76,52953,192.168.22.254,443,-,-,-,tcp,SSL::Invalid_Server_Cert,SSL certificate validation failed with (self signed certificate),CN=192.168.22.254,192.168.202.76,192.168.22.254,443,-,bro,Notice::ACTION_LOG,3600.000000,F,-,-,-,-,-
